month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202104,wyoming,wy,281250,0.0135,0.0227,1352,-0.0322,-0.4869,55.5,-0.139534884,-0.292993631,716,0.2695,-0.011,36,0,0.125,164,0,-0.4533,979,0.1087,0.4334,130.9913018,0.0056,0.0393,2110.5,-0.0064,-0.0222,706640.3652,0.0267,0.0372,2331,0.0224,-0.2975,0.724112426,0.092,0.4649
202104,north carolina,nc,363345,-0.0228,0.1426,12296,-0.018,-0.6592,42,-0.142857143,-0.382352941,10272,0.0351,0.0388,1244,-0.1037,0.1692,2088,0.0156,-0.6334,24191,0.0563,0.4921,159.7684626,0.0044,0.1699,1805.5,-0.0198,-0.0722,544063.9622,-0.0252,0.2772,36487,0.0301,-0.3023,1.967387768,0.1384,1.5181
202104,rhode island,ri,399950,-0.0688,0.0127,986,-0.0247,-0.5806,30.5,-0.075757576,-0.445454545,1144,0.0476,0.3555,44,1.75,4.5,120,-0.0625,-0.5588,2457,0.1519,0.2993,266.5071689,0.0024,0.1441,1546.5,-0.0506,-0.0836,882530.8173,-0.0522,0.3431,3443,0.0951,-0.1884,2.49188641,0.3821,1.6875
202104,district of columbia,dc,564900,0.0452,-0.1753,1567,0.0645,0.2397,35.5,-0.053333333,-0.013888889,1188,0.2073,0.9286,28,1.3333,0.75,376,0.1605,0.541,1298,0.0579,4.1508,589.4986082,-0.0139,0.1393,959,0.0213,-0.2854,964950.7697,-0.0015,-0.0495,2865,0.0615,0.8898,0.828334397,-0.0052,0.629
202104,alaska,ak,334500,0.0152,0.1436,1204,0.0515,-0.477,45.5,-0.405228758,-0.320895522,752,0.245,0.1124,60,-0.1176,2,208,0.2093,-0.5094,116,0.0357,0.2083,193.4410562,0.005,0.1304,1737,0.0224,0.0058,425061.0051,-0.0003,0.2625,1320,0.0501,-0.4495,0.096345515,-0.0015,0.0546
202104,south carolina,sc,298344,0.0368,0.0638,8960,-0.0759,-0.6563,48.5,-0.093457944,-0.326388889,5804,0.0133,-0.0523,1780,-0.188,0.9264,1416,-0.0992,-0.6956,16506,0.0273,0.5423,141.8057341,-0.0065,0.1103,1657,0.0175,-0.0466,507770.0055,0.0269,0.2035,25466,-0.0115,-0.3075,1.8421875,0.1851,1.4317
202104,wisconsin,wi,280000,0.002,0.0507,6790,0.0508,-0.5531,40.5,-0.242990654,-0.376923077,5632,0.2318,0.2003,204,-0.0893,0.9615,912,0.1875,-0.5778,8130,0.1798,0.0992,148.8225349,-0.015,0.0983,1738,-0.0032,-0.0422,387284.3724,-0.0193,0.1123,14920,0.1174,-0.3396,1.197349043,0.131,0.7106
202104,maine,me,327450,0.0395,0.2132,2230,-0.0141,-0.6112,50,-0.497487437,-0.610894942,1596,0.2239,0.4099,96,0.0909,1,260,0.3,-0.4583,1020,0.0897,0.5269,192.5088996,0.0393,0.2068,1698.5,0.021,0.0198,515714.0586,0.038,0.2878,3250,0.0163,-0.4925,0.457399103,0.0436,0.3409
202104,indiana,in,232450,0.0571,0.0814,5550,-0.0013,-0.5971,38.5,-0.266666667,-0.330434783,5236,0.2143,0.0991,320,-0.0123,0.3115,1260,0.1053,-0.5828,7128,0.1278,0.1564,119.7947924,0.027,0.1699,1827,0.0258,-0.0602,324038.0191,0.0228,0.1784,12678,0.0674,-0.3642,1.284324324,0.147,0.8369
202104,ohio,oh,222250,0.0186,0.1383,9690,-0.0028,-0.5497,37.5,-0.21875,-0.347826087,9376,0.1194,0.1633,520,0.7568,0.3978,2392,0.1865,-0.5162,20190,0.1288,0.1458,111.4614739,0.0348,0.1397,1647,0.0223,-0.0335,325324.8455,-0.0028,0.1851,29880,0.0825,-0.2366,2.083591331,0.2429,1.2648
202104,delaware,de,386400,0.0136,0.1593,1348,0.009,-0.6147,60.5,-0.342391304,-0.257668712,1072,0.1167,0.3535,408,0.3784,2.5172,192,0.1707,-0.4607,3014,0.0734,6.4975,176.7646231,0.0038,0.1288,1986,0.0109,0.0068,526888.295,0.0182,0.1993,4362,0.0526,0.1182,2.235905045,0.1341,2.121
202104,nebraska,ne,269475,-0.0193,0.0903,2444,-0.0298,-0.5096,72,-0.25388601,0.161290323,1720,0.303,0.019,136,-0.3061,0.2593,232,-0.0169,-0.6813,4667,0.1303,0.2324,130.3957464,0.0058,0.1203,1983.5,0.0008,0.0229,347359.9011,0.004,0.1958,7111,0.0696,-0.1893,1.909574468,0.2704,1.1497
202104,oregon,or,499450,0.0049,0.1724,4837,0.0621,-0.6121,32,-0.03030303,-0.340206186,5624,0.1785,0.1746,1368,5.1071,-0.0339,1240,0.5122,-0.6362,9954,0.0944,0.4632,273.8997921,0.0255,0.2286,1864,-0.0024,-0.0451,698554.6001,-0.0192,0.2518,14791,0.0837,-0.2326,2.05788712,0.0607,1.5123
202104,missouri,mo,249250,-0.001,0.1677,8082,0.0133,-0.5516,46,-0.308270677,-0.297709924,6636,0.203,0.1675,944,0.0216,2.5758,1292,0.066,-0.5659,14415,0.1485,0.3648,130.8111413,0,0.2075,1769,-0.0101,-0.0208,358249.8039,-0.0122,0.2476,22497,0.096,-0.2131,1.78359317,0.21,1.1977
202104,oklahoma,ok,229700,-0.0152,0.0211,4994,-0.0256,-0.599,46.5,-0.130841121,-0.205128205,3448,0.0577,-0.1123,324,-0.19,0.7234,1008,0.12,-0.5272,8761,0.1309,2.0762,114.9060067,0.0037,0.044,1885.5,-0.0159,-0.0251,352008.5966,-0.0158,0.2031,13755,0.0686,-0.1011,1.754305166,0.2427,1.5256
202104,washington,wa,565495,0.0107,0.1918,5777,0.1239,-0.56,25.5,0.040816327,-0.35443038,8840,0.2257,0.4023,632,0.4107,0.0533,996,0.169,-0.606,14850,0.0991,0.4013,299.9799323,0.0072,0.2852,1846,0.0221,-0.0873,813812.0268,-0.0173,0.2558,20627,0.1059,-0.1307,2.570538342,-0.0581,1.7635
202104,hawaii,hi,655000,0.0163,0.0434,4899,-0.0305,-0.123,56.5,-0.058333333,-0.284810127,1696,0.06,0.493,136,0.36,3.25,416,-0.0459,-0.3772,1527,-0.011,1.2423,564.7648997,-0.0096,0.0881,1131,0.0098,-0.063,1285367.394,-0.0109,0.0157,6426,-0.0259,0.0254,0.311696265,0.0061,0.1898
202104,montana,mt,435000,0.0199,0.1944,1952,0.0088,-0.6138,61.5,-0.23125,-0.381909548,1244,0.178,0.135,44,-0.2667,-0.3125,180,0.0227,-0.6218,3217,0.0957,0.5005,218.2567251,0.0465,0.2095,2115,-0.0061,-0.0045,956767.6156,-0.0086,0.4479,5169,0.0612,-0.2819,1.648053279,0.1307,1.2238
202104,new mexico,nm,286000,0.0214,0.0858,3675,-0.0147,-0.4223,54.5,-0.060344828,-0.258503401,1876,0.0353,0.1904,192,0.3714,0.7778,500,-0.1197,-0.4612,3640,0.0427,0.315,142.8259389,0.0211,0.0746,1961.5,0.0018,0.0044,462004.7569,0.0001,0.2067,7315,0.013,-0.1987,0.99047619,0.0546,0.5553
202104,arizona,az,434900,-0.0271,0.214,6776,0.0679,-0.6704,27.5,0.057692308,-0.367816092,8600,0.0804,-0.0196,648,0.0658,0.1912,1616,0.1576,-0.7508,17325,0.0032,0.303,226.8012859,0.0041,0.2351,2013,-0.0271,-0.0074,793447.7925,-0.0718,0.4231,24101,0.0206,-0.288,2.556818182,-0.1649,1.91
202104,colorado,co,567498.5,0.0004,0.1354,8248,-0.0127,-0.5481,38.5,-0.172043011,-0.252427184,8540,0.0718,0.4028,624,0.1064,0.4054,1028,0.1422,-0.5965,13078,0.0476,0.3938,266.3816012,-0.0122,0.2647,2122,0.0281,-0.1043,1310665.391,-0.0315,0.4366,21326,0.0234,-0.2282,1.585596508,0.0912,1.0715
202104,massachusetts,ma,659900,0.0083,0.1998,7359,0.1128,-0.4203,25.5,-0.25,-0.536363636,8240,0.1554,0.9021,236,-0.0167,0.7353,1176,0.2511,-0.3467,3584,0.1674,0.714,380.2902056,0.0216,0.3667,1741.5,-0.0194,-0.1083,1248177.852,0.0065,0.4184,10943,0.1301,-0.2599,0.487022693,0.0228,0.3223
202104,maryland,md,365500,0.0154,0.0518,6493,0.069,-0.5392,31,-0.060606061,-0.398058252,7880,0.1434,0.4947,512,-0.0154,0.6623,1404,0.1818,-0.543,13442,0.1096,4.202,195.2340046,0.0122,0.1416,1719.5,0.0175,-0.0827,534580.1897,-0.013,0.1528,19935,0.0961,0.1955,2.070229478,0.0758,1.8869
202104,georgia,ga,355000,0.0071,0.1837,22098,-0.0017,-0.6288,33.5,-0.094594595,-0.407079646,20256,0.1016,0.0303,1956,-0.1451,0.1014,4096,0.0029,-0.648,41194,0.0452,0.4636,139.2057328,-0.0003,0.2068,1883.5,0.0181,-0.0783,519199.5089,-0.0201,0.2698,63292,0.0284,-0.2782,1.864150602,0.0837,1.3914
